char,hanviet,pinyin
綴,"['chuyết', 'xuyết']",chuo4
綴,"['chuế', 'xuyết']",zhui4
縕,['uân'],yun1
縕,['uẩn'],yun4
縫,['phùng'],feng2
縫,['phúng'],feng4
繃,['băng'],beng1
繃,['băng'],beng3
繆,['mậu'],miao4
繆,['liễu'],liao3
繆,['mậu'],miu4
繆,['mâu'],mou2
繆,['mục'],mu4
繇,"['dao', 'diêu']",yao2
繇,['do'],you2
繇,"['chựu', 'lựu']",zhou4
繰,"['sào', 'tao']",qiao1
繰,"['sào', 'tao']",sao1
纚,['ly'],li2
纚,['sỉ'],xi3
罷,['bãi'],ba4
罷,['ba'],ba5
翟,['địch'],di2
翟,['trạch'],zhai2
耑,['chuyên'],zhuan1
耑,['đoan'],duan1
耙,"['ba', 'bá']",ba4
耙,"['ba', 'bá']",pa2
耶,"['gia', 'da']",ye1
耶,"['gia', 'da']",ye2
耶,"['gia', 'da']",ye5
肖,['tiêu'],xiao1
肖,['tiếu'],xiao4
背,['bối'],bei1
背,"['bối', 'bội']",bei4
胖,['bàn'],pan2
胖,['bàn'],pang4
脯,['phủ'],fu3
脯,['bô'],pu2
膀,['bảng'],bang3
膀,['báng'],bang4
膀,['bàng'],pang1
膀,['bàng'],pang2
膏,['cao'],gao1
膏,['cáo'],gao4
臊,['tao'],sao1
臊,['táo'],sao4
臧,['tang'],zang1
臧,['tạng'],zang4
臭,['xú'],chou4
臭,['khứu'],xiu4
與,['dư'],yu2
與,['dữ'],yu3
與,['dự'],yu4
興,['hưng'],xing1
興,['hứng'],xing4
舍,['xá'],she4
舍,['xả'],she3
般,['ban'],ban1
般,['bàn'],pan2
般,['bát'],bo1
艾,['ngải'],ai4
艾,['nghệ'],yi4
芫,['diêm'],yan2
芫,['nguyên'],yuan2
芴,['hốt'],hu1
芴,['vật'],wu4
芾,['phí'],fei4
芾,['phất'],fu2
苕,['thiều'],shao2
苕,['điều'],tiao2
茄,['gia'],jia1
茄,['cà'],qie2
茆,['mao'],mao2
茆,['mão'],mao3
茜,['thiến'],qian4
茜,['tây'],xi1
荅,['đáp'],da1
荅,['đáp'],da2
草,['thảo'],cao3
草,['tháo'],cao4
荑,['đề'],ti2
荑,['di'],yi2
荷,['hà'],he2
荷,['hạ'],he4
莎,['sa'],sha1
莎,['toa'],suo1
莘,['sân'],shen1
莘,['tân'],xin1
莞,['quan'],guan1
莞,['quản'],guan3
莞,['hoản'],wan3
莩,['phu'],fu2
莩,['biễu'],piao3
菀,['uyển'],wan3
菀,['uất'],yu4
菑,['tai'],zai1
菑,['tri'],zi1
華,['hoa'],hua2
華,['hoá'],hua4
華,['hoa'],hua1
菲,['phi'],fei1
菲,['phỉ'],fei3
菸,['yên'],yan1
菸,['ư'],yu1
萹,['phiên'],bian1
萹,['biển'],bian3
著,['trước'],zhao1
著,['trước'],zhao2
著,['trước'],zhe5
著,['trước'],zhuo2
著,['trứ'],zhu4
蒔,['thì'],shi2
蒔,['thi'],shi4
蒙,['mông'],meng2
蒙,['mông'],meng3
蒙,['mông'],meng1
蓋,['cái'],ge3
蓋,['cái'],gai4
蓼,['liệu'],liao3
蓼,['lục'],lu4
蔓,['man'],man2
蔓,['mạn'],man4
蔚,['uất'],yu4
蔚,['uý'],wei4
蕃,"['phồn', 'phiền']",bo1
蕃,['phiên'],fan1
蕃,"['phồn', 'phiền']",fan2
薄,['bạc'],bo2
薄,['bạc'],bao2
薄,['bạc'],bo4
薺,['tề'],ji4
薺,['tề'],qi2
藉,"['tá', 'tạ']",jie4
藉,['tịch'],ji2
藏,['tạng'],zang4
藏,['tàng'],cang2
蘋,['bình'],ping2
蘋,['tần'],pin2
處,['xử'],chu3
處,['xứ'],chu4
號,"['gào', 'hào']",hao2
號,['hiệu'],hao4
虺,['hôi'],hui1
虺,['huỷ'],hui3
蛸,['sao'],shao1
蛸,['sao'],xiao1
蝃,['đế'],di4
蝃,['chuyết'],zhuo1
蠡,['lê'],li2
蠡,"['lễ', 'lãi']",li3
行,"['hàng', 'hạng']",hang2
行,"['hành', 'hạnh']",xing2
術,['thuật'],shu4
術,[],zhu2
衣,['y'],yi1
衣,['ý'],yi4
衩,['sái'],cha3
衩,['sái'],cha4
衰,['thôi'],cui1
衰,['suy'],shuai1
衹,['chỉ'],zhi3
衹,['kỳ'],qi2
裨,"['bì', 'tì']",pi2
裨,"['bì', 'tì']",bi4
裼,['thế'],ti4
裼,['tích'],xi1
褚,['trữ'],chu3
褚,['trữ'],zhu3
褪,['thoái'],tui4
褪,['thốn'],tun4
褶,['tập'],xi2
褶,['triệp'],zhe3
襢,['đản'],tan3
襢,['triển'],zhan4
要,['yêu'],yao1
要,['yếu'],yao4
覃,[],qin2
覃,['đàm'],tan2
見,['kiến'],jian4
見,['hiện'],xian4
親,['thân'],qin1
親,"['thân', 'thấn']",qing4
覺,['giáo'],jiao4
覺,['giác'],jue2
觀,['quán'],guan4
觀,['quan'],guan1
角,['giác'],jue2
角,"['giác', 'giốc', 'góc']",jiao3
觜,['tuy'],zi1
觜,['chuỷ'],zui3
解,['giải'],xie4
解,['giải'],jie3
